"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specelt_no","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","ref_author","ref_pubyr","reference_no","phylum","class","order","family","genus","lng","lat","cc","state","county","latlng_basis","latlng_precision","geogscale","geogcomments","research_group","authorizer_no","enterer_no","modifier_no","authorizer","enterer","modifier","created","modified"
"18592","spm","","485130","0","48570","ANSP 9995","holotype","","right","fibula","","1","table","","""preserved"" length 23 inches (= 584 mm) according to Cope 1866","Dryptosaurus aquilunguis","species","53032","70.6","66","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Dryptosaurus","-75.160278","39.732777","US","New Jersey","Gloucestershire","based on nearby landmark","seconds","small collection","West Jersey Marl Company's Pit, about 2 miles S (also listed as 1.5 mi. E) of Barnsboro (=Barnesboro), Mantua Township, Gloucester Co., NJ","vertebrate","4","4","4","J. Alroy","J. Alroy","J. Alroy","2010-12-06 19:33:38","2010-12-16 16:53:51"
"18593","spm","","485130","0","48570","ANSP 9995","holotype","","right","tibia","","1","table","","length 30.75 inches (= 781 mm) and circumference 10.5 inches (= 267 mm) according to Cope 1866","Dryptosaurus aquilunguis","species","53032","70.6","66","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Dryptosaurus","-75.160278","39.732777","US","New Jersey","Gloucestershire","based on nearby landmark","seconds","small collection","West Jersey Marl Company's Pit, about 2 miles S (also listed as 1.5 mi. E) of Barnsboro (=Barnesboro), Mantua Township, Gloucester Co., NJ","vertebrate","4","4","4","J. Alroy","J. Alroy","J. Alroy","2010-12-06 19:33:38","2010-12-16 16:53:57"
"18594","spm","","536124","13789","22648","AMNH 587","","","","fibula","","1","table","","","Tanycolagreus topwilsoni","species","68260","157.3","145","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Tanycolagreus","-106.048615","42.017776","US","Wyoming","Albany","unpublished field data","seconds","outcrop","coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming","vertebrate","4","4","0","J. Alroy","J. Alroy","","2010-12-06 19:35:31","2010-12-06 02:35:31"
"18595","spm","","536124","13789","22648","AMNH 587","","","","tibia","","1","table","","","Tanycolagreus topwilsoni","species","68260","157.3","145","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Tanycolagreus","-106.048615","42.017776","US","Wyoming","Albany","unpublished field data","seconds","outcrop","coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming","vertebrate","4","4","0","J. Alroy","J. Alroy","","2010-12-06 19:35:31","2010-12-06 02:35:31"
"18596","spm","","536124","13789","22648","AMNH 587","","","","fibula","","1","table","","","Tanycolagreus topwilsoni","species","68260","157.3","145","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Tanycolagreus","-106.048615","42.017776","US","Wyoming","Albany","unpublished field data","seconds","outcrop","coordinates from K. Carpenter (pers. comm. to M. Carrano). at the head of a draw, near the Medicine Bow River in S-central Wyoming","vertebrate","4","4","0","J. Alroy","J. Alroy","","2010-12-06 19:35:31","2010-12-06 02:35:31"
"18649","spm","","487166","0","48847","CM 9780 (AMNH 5027)","","","","femur","","1","table","","","Tyrannosaurus rex","species","54833","72.1","66","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Tyrannosaurus","-106.455559","47.963890","US","Montana","Garfield","based on nearby landmark","seconds","small collection","approximate location of Big Dry Post Office, now beneath Ft. Peck reservoir; E side of Big Dry Creek , 8 miles from Willis Ranch, 25 miles S of Lismas","vertebrate","4","4","0","J. Alroy","J. Alroy","","2010-12-07 20:05:46","2010-12-07 03:05:46"
"18650","spm","","487166","0","48847","CM 9780 (AMNH 5027)","","","","tibia","","1","table","","","Tyrannosaurus rex","species","54833","72.1","66","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Tyrannosaurus","-106.455559","47.963890","US","Montana","Garfield","based on nearby landmark","seconds","small collection","approximate location of Big Dry Post Office, now beneath Ft. Peck reservoir; E side of Big Dry Creek , 8 miles from Willis Ranch, 25 miles S of Lismas","vertebrate","4","4","0","J. Alroy","J. Alroy","","2010-12-07 20:05:46","2010-12-07 03:05:46"
"18651","spm","","487166","0","48847","CM 9780 (AMNH 5027)","","","","fibula","","1","table","","","Tyrannosaurus rex","species","54833","72.1","66","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Tyrannosaurus","-106.455559","47.963890","US","Montana","Garfield","based on nearby landmark","seconds","small collection","approximate location of Big Dry Post Office, now beneath Ft. Peck reservoir; E side of Big Dry Creek , 8 miles from Willis Ranch, 25 miles S of Lismas","vertebrate","4","4","0","J. Alroy","J. Alroy","","2010-12-07 20:05:46","2010-12-07 03:05:46"
"18654","spm","","498881","0","47346","AMNH 3041","holotype","","","femur","","1","table","","","Microvenator celer","species","65860","113","100.5","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","Caenagnathidae","Microvenator","-109.685501","46.337502","US","Montana","Wheatland","stated in text","4","small collection","SW 1/4, sec 26, T7N, R16E, Wheatland Co., MT. Middle Dome, 12 miles SE of Harlowton","vertebrate","4","4","0","J. Alroy","J. Alroy","","2010-12-07 21:32:46","2010-12-07 04:32:46"
"18655","spm","","498881","0","47346","AMNH 3041","holotype","","","tibia","","1","table","","","Microvenator celer","species","65860","113","100.5","Christiansen","1999","34423","Chordata","Saurischia","Avetheropoda","Caenagnathidae","Microvenator","-109.685501","46.337502","US","Montana","Wheatland","stated in text","4","small collection","SW 1/4, sec 26, T7N, R16E, Wheatland Co., MT. Middle Dome, 12 miles SE of Harlowton","vertebrate","4","4","0","J. Alroy","J. Alroy","","2010-12-07 21:32:46","2010-12-07 04:32:46"
